Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,F2Pool,GBMiners,HaoBTC,SlushPool,Unknown,ViaBTC,others
2015-12-14 00:00:00 UTC,,1.6706302256993517e+17,,,1.0349036796367664e+17,3.104711038910299e+16,2.956867656105047e+15,9.757663265146654e+16,1.9071796381877555e+17,,,3.5482411873260564e+16,5.913735312210094e+15,,9.166289733925646e+16
2015-12-21 00:00:00 UTC,,1.7032460011112013e+17,,,9.212108721963307e+16,4.83801393311742e+16,5.964674712062572e+15,1.1863075260657786e+17,1.72312825015141e+17,,,3.379982336835458e+16,6.627416346736192e+15,,1.0206221173973736e+17
2015-12-28 00:00:00 UTC,,1.8755994418258874e+17,,,9.377997209129437e+16,4.129118174168932e+16,5.598804303957873e+15,1.1407563769314168e+17,1.7566248503667827e+17,,,3.0793423671768304e+16,6.298654841952608e+15,,7.418415702744184e+16
2016-01-04 00:00:00 UTC,,2.0937812478050512e+17,,,1.0026558088080526e+17,4.7921049685678984e+16,5.160728427688506e+15,1.2385748226452416e+17,1.9537043333392202e+17,,,3.981133358502562e+16,3686234591206075.5,,1.0395181547201134e+17
2016-01-11 00:00:00 UTC,,2.1516222525265763e+17,,,1.1225855230573442e+17,3.819909071514574e+16,1.1693599198514002e+16,1.2005428510474376e+17,1.8242014749681843e+17,,,2.5725918236730804e+16,3.897866399504667e+15,,9.82262332675176e+16
2016-01-18 00:00:00 UTC,,2.3105996652320586e+17,,,1.1754270074002806e+17,6.27967853268643e+16,2.0932261775621436e+16,1.3525461455016928e+17,1.9885648686840365e+17,,,3.381365363754232e+16,4025434956850276.5,,9.822061294714674e+16
2016-01-25 00:00:00 UTC,,2.400763562351554e+17,,,1.314102160445061e+17,7.497121299975027e+16,1.8532209954994452e+16,1.4067632102200334e+17,2.2744075853856826e+17,,,4.38034053481687e+16,1.68474635954495e+15,,9.855766203337957e+16
2016-02-01 00:00:00 UTC,,2.338913616096721e+17,,,1.632003157500324e+17,1.1170930703745533e+17,2.443641091444335e+16,1.4312754964173965e+17,2.5832777252411546e+17,,,4.625463494519635e+16,3.490915844920479e+15,,1.0821839119253486e+17
2016-02-08 00:00:00 UTC,,2.8158518335485782e+17,,,1.6587927164904352e+17,8.908331255226411e+16,2.4574706910969412e+16,1.8021451734710902e+17,3.143514592361504e+17,,,4.4029683215486856e+16,2047892242580784.2,,9.932277376516806e+16
2016-02-15 00:00:00 UTC,,2.6724287471398746e+17,,,1.8493206930207933e+17,8.658669140733194e+16,3.1000173466822548e+16,1.1651789337529853e+17,2.4372550173915654e+17,,,5.2379603443941544e+16,,,1.261386368650021e+17
